round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,8.0,0.1042211055276382,8.0,8.0,9.74,3.351477286212753,10.088643216080403,3.5284602629871156,50
Second Round,5.0,0.07306532663316584,5.0,5.0,6.22,2.3773094035064095,6.784422110552764,2.6188452215021205,50
Sweet 16,3.0,0.09507537688442214,3.0,3.0,3.52,1.64,4.110150753768845,1.717871616811386,50
Elite 8,1.0,0.1305527638190955,1.0,1.0,1.88,1.107068200247844,2.1868341708542713,1.1148010740989858,50
Final Four,,,,0.0,0.62,0.752953368748825,0.8598994974874372,0.7473033530347859,50
Championship,,,,0.0,0.24,0.4314191105869,0.33175879396984925,0.47084487529707736,50
Total Upsets,26.0,0.07236180904522613,26.0,26.0,22.22,7.666263757528827,24.36170854271357,8.17926788970352,50
