advanced_through,to_reach,seed,team,frequency
First Round,Second Round,11,S Dakota St,0.64
First Round,Second Round,12,James Madison,0.6
First Round,Second Round,10,Villanova,0.58
First Round,Second Round,9,Virginia Tech,0.56
First Round,Second Round,12,Murray St,0.42
First Round,Second Round,11,Rhode Island,0.4
First Round,Second Round,9,Syracuse,0.4
First Round,Second Round,9,Princeton,0.4
First Round,Second Round,11,Fairfield,0.38
First Round,Second Round,10,Colorado,0.36
First Round,Second Round,10,Tennessee,0.36
First Round,Second Round,9,USC,0.36
First Round,Second Round,15,FDU,0.36
First Round,Second Round,10,UVA/ASU,0.36
First Round,Second Round,12,Colorado St,0.34
First Round,Second Round,12,Gonzaga,0.34
First Round,Second Round,11,NEB/RICH,0.32
First Round,Second Round,14,UC San Diego,0.28
First Round,Second Round,13,W Illinois,0.26
First Round,Second Round,13,Green Bay,0.26
First Round,Second Round,14,Vermont,0.26
First Round,Second Round,15,Jacksonville,0.24
First Round,Second Round,13,Idaho,0.22
First Round,Second Round,14,Howard,0.18
First Round,Second Round,13,Miami OH,0.16
First Round,Second Round,15,High Point,0.16
First Round,Second Round,15,Holy Cross,0.16
First Round,Second Round,16,MOST/SFA,0.1
First Round,Second Round,16,UTSA,0.1
First Round,Second Round,14,Charleston,0.1
First Round,Second Round,16,SOU/SAM,0.04
First Round,Second Round,16,CA Baptist,0.04
Second Round,Sweet 16,5,Michigan St,0.36
Second Round,Sweet 16,6,Alabama,0.32
Second Round,Sweet 16,12,James Madison,0.28
Second Round,Sweet 16,12,Murray St,0.26
Second Round,Sweet 16,10,Villanova,0.26
Second Round,Sweet 16,11,S Dakota St,0.24
Second Round,Sweet 16,7,Georgia,0.24
Second Round,Sweet 16,7,Texas Tech,0.22
Second Round,Sweet 16,6,Notre Dame,0.22
Second Round,Sweet 16,12,Colorado St,0.2
Second Round,Sweet 16,5,Ole Miss,0.2
Second Round,Sweet 16,11,Rhode Island,0.2
Second Round,Sweet 16,15,FDU,0.18
Second Round,Sweet 16,11,Fairfield,0.18
Second Round,Sweet 16,5,Kentucky,0.16
