round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,18.442203949214807,3.474824659051391,18.90632653813575,3.4615959911415737
Second Round,8.892736874179672,1.8668374543943407,9.372736756280155,2.0576744083233085
Sweet 16,4.336072274635458,0.9835130731970594,4.771051956767706,1.289973006369717
Elite 8,2.324683103114546,0.7996998806942279,2.357884886550498,0.8860277349398712
Final Four,1.1210629618393653,0.41812370429301865,1.2400883923893036,0.5566335100957309
Championship,0.6256476760426984,0.24948282192474552,0.6348681665933386,0.3578534416944096
