round,avg_log_prob,std_log_prob,min_log_prob,q25_log_prob,median_log_prob,q75_log_prob,max_log_prob,total_games
First Round,18.87165665085396,2.602294880621505,13.713012359124077,17.204091139023824,18.81323834010588,20.591222593131725,26.78098866664783,100
Second Round,9.457395837972207,1.5880631413349373,5.921787438298113,8.30374249113277,9.290647970425486,10.614092245458647,13.593489386072415,100
Sweet 16,4.83712094237225,1.1238387421264158,2.4283737061299875,3.9840913649266256,4.719381354745828,5.714078485516784,7.579174349507316,100
Elite 8,2.3977091410252798,0.8457803149445308,1.0276446518979783,1.74662198377366,2.2698199421117127,2.9670075607240616,5.494434673707275,100
Final Four,1.2853784384057771,0.4790985636642671,0.44355048887745846,0.9249886316512185,1.2864265881247663,1.551424692688553,2.3937759900762385,100
Championship,0.6536235692907292,0.3983459691961936,0.12943882934324397,0.36904275838938616,0.5724148915730065,0.796640463430748,1.780125825996598,100
Overall,37.502884579920206,3.2946311623037863,31.538357815449725,34.954527627208236,37.62404052069539,39.715302893341644,45.30896112688041,100
