round,mean_madness,std_madness
First Round,14.37869042238563,2.5392223409883563
Second Round,8.24830285718518,1.5906746954597948
Sweet 16,4.36805066216262,1.0170372801559786
Elite 8,2.243720920269851,0.6049036486038334
Final Four,1.2192323766238962,0.3541534287422276
Championship,0.5985236972440272,0.23061056787931267
