round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,4.0,0.13999999999999999,4.0,4.0,5.255,2.6305845358018813,200
Second Round,2.0,0.12125000000000001,5.0,5.0,4.27,2.148743819071971,200
Sweet 16,1.0,0.09875,3.0,3.0,2.845,1.6065413159953277,200
Elite 8,1.0,0.175,2.0,2.0,1.69,1.0217142457654196,200
Final Four,,,,0.0,0.59,0.6664237413351023,200
Championship,,,,0.0,0.175,0.3809205986981576,200
Total Upsets,16.0,0.0725,16.0,16.0,14.825,6.146086152992,200
