round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,2.183,10.223,-8.040000000000001,0.0,True,-2.8212066390668586,Large
Second Round,2.016,7.822555555555556,-5.806555555555556,0.0,True,-2.647480146156858,Large
Sweet 16,1.167,4.366,-3.199,0.0,True,-2.169557578739329,Large
Elite 8,0.86,2.7306666666666666,-1.8706666666666667,0.0,True,-1.9843440414252886,Large
Final Four,0.162,1.213,-1.0510000000000002,0.0,True,-1.7736333029840452,Large
Championship,0.028,0.5361111111111111,-0.5081111111111111,2.744195244035732e-214,True,-1.3680072683871516,Large
Total,6.416,26.891333333333332,-20.47533333333333,0.0,True,-3.0588107172609895,Large
