round,avg_log_prob,std_log_prob,min_log_prob,q25_log_prob,median_log_prob,q75_log_prob,max_log_prob,total_games
First Round,18.56790076123483,3.173658085313989,12.933208514453884,16.329348832738127,17.89245872311713,20.83817022374125,28.476751620082865,100
Second Round,10.10916050185149,1.5990272432302024,6.625657965876873,8.880284482226575,10.123156657162703,11.18475661646131,14.514448630350458,100
Sweet 16,5.157112817935801,1.0562749737273656,2.548668563061774,4.414401140588982,5.108749269718368,5.762228972715414,8.21302270494586,100
Elite 8,2.4675446389881595,0.5998788627503605,1.5677614889135567,2.057954065551114,2.378105825307075,2.663192684132392,4.678485410795225,100
Final Four,1.2977126139024007,0.4722220165929952,0.47520193965528135,0.9744994035550758,1.2077668773609045,1.5216428975454088,2.8871112423171823,100
Championship,0.6295639618947934,0.26902564129721657,0.06118173951060067,0.4363771916183161,0.6014717946421048,0.7944460300055403,1.5543631367379318,100
Overall,38.228995295807465,3.6153846090034705,31.938673065731578,35.396626278740364,37.81686213038255,40.02326520782087,48.6400082320181,100
