round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,6.0,0.12346938775510205,8.0,8.0,6.8,2.4413111231467406,8.475510204081633,3.47386925442433,20
Second Round,5.0,0.10918367346938776,5.0,5.0,5.55,1.627114009527298,6.573469387755102,2.6491643280132684,20
Sweet 16,4.0,0.28877551020408165,4.0,4.0,3.7,1.0535653752852738,4.366326530612245,1.7111545140427205,20
Elite 8,2.0,0.08163265306122447,3.0,3.0,2.25,0.9420721840708386,2.406122448979592,1.1122523871681953,20
Final Four,,,,1.0,0.85,0.7451598203705947,1.0204081632653061,0.743400787840538,20
Championship,,,,0.0,0.25,0.4442616583193193,0.4306122448979592,0.495161932545202,20
Total Upsets,22.0,0.14795918367346939,22.0,22.0,19.4,4.651881339845203,23.272448979591836,8.293115913425988,20
