round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,15.252894980281926,2.227677659879304,17.41853915390913,4.34933531733426
Second Round,8.30417837660399,1.169362486829641,9.453755271245994,2.22837291334766
Sweet 16,4.6440512561021645,0.8911343454709221,4.949709480970277,1.2376330507813535
Elite 8,2.4004299645490903,0.5731641080220196,2.4489536468501143,0.7918111421314612
Final Four,1.3116483711877673,0.5614341952152635,1.2433346122359274,0.5518248579421473
Championship,0.5538688183209978,0.23449062900843162,0.6452391725459501,0.3529575325305282
