name,Team
UConn,Connecticut
Western KY,Western Kentucky
NC State,North Carolina State
Saint Mary's,Saint Mary's College
S Dakota St,South Dakota State
BOIS/COL,Colorado
UVA/CSU,Virginia
HOW/WAG,Howard
MTST/GRAM,Grambling State
CA Baptist,California Baptist
E Washington,Eastern Washington
MTSU,Middle Tennessee
Texas A&M-CC,Texas A&M-Corpus Christi
VAN/COLU,Columbia
SHU/PRES,Sacred Heart
AUB/ARIZ,Auburn
HC/UTM,Holy Cross
Grambling,Grambling State
