advanced_through,to_reach,seed,team,frequency
First Round,Second Round,11,VCU,0.395
First Round,Second Round,12,Akron,0.35
First Round,Second Round,9,Utah State,0.345
First Round,Second Round,9,Saint Louis,0.32
First Round,Second Round,10,Santa Clara,0.315
First Round,Second Round,11,South Florida,0.3
First Round,Second Round,10,Missouri,0.275
First Round,Second Round,9,Iowa,0.255
First Round,Second Round,9,TCU,0.255
First Round,Second Round,12,McNeese,0.25
First Round,Second Round,15,Tennessee St,0.23
First Round,Second Round,12,High Point,0.215
First Round,Second Round,11,M-OH/SMU,0.215
First Round,Second Round,13,CA Baptist,0.215
First Round,Second Round,10,UCF,0.2
First Round,Second Round,11,TEX/NCSU,0.195
First Round,Second Round,10,Texas A&M,0.19
First Round,Second Round,13,Hofstra,0.185
First Round,Second Round,13,Troy,0.145
First Round,Second Round,14,Penn,0.135
First Round,Second Round,12,Northern Iowa,0.11
First Round,Second Round,13,Hawai'i,0.095
First Round,Second Round,14,Wright St,0.095
First Round,Second Round,15,Furman,0.08
First Round,Second Round,14,Kennesaw St,0.07
First Round,Second Round,15,Queens,0.065
First Round,Second Round,14,N Dakota St,0.055
First Round,Second Round,15,Idaho,0.045
First Round,Second Round,16,Siena,0.04
First Round,Second Round,16,Long Island,0.03
First Round,Second Round,16,PV/LEH,0.025
First Round,Second Round,16,UMBC/HOW,0.02
Second Round,Sweet 16,5,St John's,0.45
Second Round,Sweet 16,5,Vanderbilt,0.3
Second Round,Sweet 16,5,Wisconsin,0.29
Second Round,Sweet 16,7,Saint Mary's,0.23
Second Round,Sweet 16,5,Texas Tech,0.215
Second Round,Sweet 16,6,BYU,0.21
Second Round,Sweet 16,6,North Carolina,0.2
Second Round,Sweet 16,7,Kentucky,0.195
Second Round,Sweet 16,6,Tennessee,0.18
Second Round,Sweet 16,11,VCU,0.18
Second Round,Sweet 16,7,UCLA,0.18
Second Round,Sweet 16,7,Miami,0.14
Second Round,Sweet 16,12,Akron,0.14
Second Round,Sweet 16,8,Clemson,0.135
Second Round,Sweet 16,6,Louisville,0.13
