round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,4.0,0.10687500000000001,5.0,5.0,5.7405,2.695396028415862,2000
Second Round,3.0,0.12225,4.0,4.0,4.5585,2.1404620412424977,2000
Sweet 16,2.0,0.127125,3.0,3.0,3.235,1.5523450003140413,2000
Elite 8,1.0,0.15075000000000002,2.0,2.0,1.824,1.0728578657026289,2000
Final Four,,,,0.0,0.655,0.694417819510723,2000
Championship,,,,0.0,0.2195,0.41401141617878506,2000
Total Upsets,12.0,0.047875,16.0,16.0,16.2325,6.305588295313926,2000
