round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,17.02116425616709,2.1564885032302654,18.968909573231947,3.6022205071235156
Second Round,7.755353560281772,1.5054492947362748,9.407153548439563,2.0811133814382337
Sweet 16,4.181316867122095,0.8004977833759837,4.788530153534608,1.3034559225311497
Elite 8,1.9553694588675643,0.7426644603624862,2.387541589680313,0.8794725120480043
Final Four,1.2618136163036824,0.43897605380012156,1.2400214646433412,0.5372075003292289
Championship,0.5923009248987129,0.1570929876552504,0.6403911768926368,0.35650615420809834
