advanced_through,to_reach,seed,team,frequency
First Round,Second Round,12,Murray St,0.445
First Round,Second Round,10,Villanova,0.415
First Round,Second Round,10,Colorado,0.41
First Round,Second Round,11,Rhode Island,0.395
First Round,Second Round,11,S Dakota St,0.37
First Round,Second Round,9,Syracuse,0.37
First Round,Second Round,9,Virginia Tech,0.365
First Round,Second Round,9,USC,0.36
First Round,Second Round,12,James Madison,0.35
First Round,Second Round,9,Princeton,0.345
First Round,Second Round,11,Fairfield,0.34
First Round,Second Round,12,Gonzaga,0.33
First Round,Second Round,13,W Illinois,0.26
First Round,Second Round,10,UVA/ASU,0.255
First Round,Second Round,12,Colorado St,0.235
First Round,Second Round,10,Tennessee,0.23
First Round,Second Round,13,Idaho,0.23
First Round,Second Round,14,Vermont,0.225
First Round,Second Round,13,Green Bay,0.225
First Round,Second Round,13,Miami OH,0.215
First Round,Second Round,11,NEB/RICH,0.19
First Round,Second Round,14,UC San Diego,0.175
First Round,Second Round,15,FDU,0.16
First Round,Second Round,14,Howard,0.16
First Round,Second Round,15,Jacksonville,0.155
First Round,Second Round,15,Holy Cross,0.145
First Round,Second Round,14,Charleston,0.14
First Round,Second Round,15,High Point,0.125
First Round,Second Round,16,CA Baptist,0.055
First Round,Second Round,16,UTSA,0.05
First Round,Second Round,16,MOST/SFA,0.01
First Round,Second Round,16,SOU/SAM,0.005
Second Round,Sweet 16,5,Michigan St,0.38
Second Round,Sweet 16,5,Ole Miss,0.26
Second Round,Sweet 16,7,NC State,0.25
Second Round,Sweet 16,6,Baylor,0.21
Second Round,Sweet 16,7,Georgia,0.21
Second Round,Sweet 16,6,Notre Dame,0.205
Second Round,Sweet 16,5,Maryland,0.185
Second Round,Sweet 16,6,Alabama,0.18
Second Round,Sweet 16,10,Colorado,0.175
Second Round,Sweet 16,6,Washington,0.175
Second Round,Sweet 16,5,Kentucky,0.17
Second Round,Sweet 16,11,Rhode Island,0.16
Second Round,Sweet 16,12,Murray St,0.15
Second Round,Sweet 16,7,Illinois,0.15
Second Round,Sweet 16,11,S Dakota St,0.135
Second Round,Sweet 16,11,Fairfield,0.125
Second Round,Sweet 16,8,Oklahoma St,0.125
Second Round,Sweet 16,10,Villanova,0.12
Second Round,Sweet 16,7,Texas Tech,0.115
Second Round,Sweet 16,12,Gonzaga,0.11
Second Round,Sweet 16,12,James Madison,0.09
Second Round,Sweet 16,13,W Illinois,0.085
Second Round,Sweet 16,10,Tennessee,0.08
Second Round,Sweet 16,9,Princeton,0.08
Second Round,Sweet 16,13,Miami OH,0.075
Second Round,Sweet 16,8,Iowa State,0.075
Second Round,Sweet 16,12,Colorado St,0.065
Second Round,Sweet 16,15,FDU,0.06
Second Round,Sweet 16,13,Green Bay,0.06
Second Round,Sweet 16,14,Vermont,0.055
Second Round,Sweet 16,13,Idaho,0.05
Second Round,Sweet 16,14,Charleston,0.045
Second Round,Sweet 16,14,Howard,0.04
Second Round,Sweet 16,15,Jacksonville,0.035
Second Round,Sweet 16,8,Oregon,0.035
Second Round,Sweet 16,9,Syracuse,0.035
Second Round,Sweet 16,9,Virginia Tech,0.035
Second Round,Sweet 16,14,UC San Diego,0.035
Second Round,Sweet 16,10,UVA/ASU,0.03
Second Round,Sweet 16,8,Clemson,0.03
Second Round,Sweet 16,9,USC,0.03
Second Round,Sweet 16,15,Holy Cross,0.03
Second Round,Sweet 16,16,UTSA,0.025
Second Round,Sweet 16,15,High Point,0.02
Second Round,Sweet 16,11,NEB/RICH,0.015
Second Round,Sweet 16,16,SOU/SAM,0.005
Second Round,Sweet 16,16,CA Baptist,0.005
Sweet 16,Elite 8,3,TCU,0.36
Sweet 16,Elite 8,3,Duke,0.315
Sweet 16,Elite 8,3,Ohio State,0.275
