round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,5.0,0.1285714285714286,7.0,7.0,6.65,2.7798381247835278,20
Second Round,1.0,0.12346938775510204,5.0,5.0,5.35,2.535251466817444,20
Sweet 16,4.0,0.08877551020408161,4.0,4.0,3.1,1.8411952639521971,20
Elite 8,0.0,0.2510204081632653,0.0,0.0,1.7,1.3076696830622019,20
Final Four,,,,0.0,0.55,0.6048053188292994,20
Championship,,,,0.0,0.2,0.4103913408340617,20
Total Upsets,13.0,0.07755102040816328,13.0,13.0,17.55,7.513155129504515,20
