round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,8.0,0.07767676767676769,8.0,8.0,8.71,2.95057621491125,10.112626262626263,3.5357827661511227,100
Second Round,5.0,0.0793939393939394,5.0,5.0,5.59,2.145203953007732,6.757777777777778,2.6449714269925835,100
Sweet 16,2.0,0.11242424242424244,4.0,4.0,3.38,1.5217095649301806,4.100303030303031,1.729932534765244,100
Elite 8,0.0,0.07080808080808082,2.0,2.0,1.81,1.1374972527439353,2.191010101010101,1.113090152129043,100
Final Four,,,,0.0,0.7,0.7035264706814486,0.8677777777777778,0.7434509426671254,100
Championship,,,,0.0,0.26,0.44084400227680803,0.3333333333333333,0.47140452079103173,100
Total Upsets,15.0,0.07363636363636364,15.0,15.0,20.45,6.405271266699015,24.362828282828282,8.256009264197395,100
