round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,7.705,9.646428571428572,-1.9414285714285722,5.618041699458658e-14,True,-0.5651203609681669,Medium
Second Round,5.835,7.455,-1.62,1.43276790361824e-17,True,-0.6493096133152267,Medium
Sweet 16,3.175,4.176428571428572,-1.0014285714285718,5.432628931801532e-16,True,-0.6285237047986191,Medium
Elite 8,2.09,2.5668367346938776,-0.4768367346938778,1.721367386144331e-10,True,-0.46594716313671264,Small
Final Four,0.82,1.1101020408163265,-0.2901020408163265,3.8676470139898767e-08,True,-0.38903786308164173,Small
Championship,0.305,0.4698979591836735,-0.1648979591836735,3.6676174473388315e-06,True,-0.3434372353639301,Small
Total,19.93,25.42469387755102,-5.494693877551022,2.4785406318192937e-20,True,-0.716423777771931,Medium
