round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,16.794130024690176,18.585411432535864,-1.7912814078456876,6.915288834090112e-12,True,-0.5828096122449483,Medium
Second Round,9.09413879918049,9.777378809095548,-0.6832400099150586,1.1758927040262439e-07,True,-0.4299444972922574,Small
Sweet 16,4.3155947468443205,4.811777600033876,-0.4961828531895556,1.784682952029215e-08,True,-0.44183555961523807,Small
Elite 8,2.3165203096653126,2.499734425248385,-0.18321411558307243,0.00047657090492563025,True,-0.26555958664486157,Small
Final Four,1.1998491567305003,1.2803167987523443,-0.08046764202184398,0.022490190772794637,True,-0.17744495987391976,Negligible
Championship,0.631077476059084,0.6432851212707908,-0.012207645211706808,0.5976745049630424,False,-0.04351173254257761,Negligible
Overall,34.351310513169885,37.59790418693681,-3.246593673766924,1.5796983210011377e-17,True,-0.7383675744670507,Medium
