round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,15,Wofford,24,1262,0.12,0.12877551020408162,-0.008775510204081627,-0.06814580031695718
First Round,11,Texas,65,3333,0.325,0.34010204081632656,-0.015102040816326545,-0.04440444044404444
First Round,10,Utah State,77,3925,0.385,0.4005102040816326,-0.015510204081632617,-0.03872611464968144
First Round,14,Troy,42,2357,0.21,0.24051020408163265,-0.030510204081632658,-0.1268561731014001
First Round,14,Lipscomb,40,2319,0.2,0.2366326530612245,-0.036632653061224485,-0.15480810694264766
First Round,9,Oklahoma,79,4267,0.395,0.4354081632653061,-0.04040816326530611,-0.09280524958987575
First Round,13,Yale,60,3350,0.3,0.34183673469387754,-0.04183673469387755,-0.12238805970149255
First Round,16,Norfolk St,12,1020,0.06,0.10408163265306122,-0.044081632653061226,-0.4235294117647059
First Round,16,SIUE,9,896,0.045,0.09142857142857143,-0.04642857142857143,-0.5078125
First Round,10,Arkansas,80,4386,0.4,0.44755102040816325,-0.047551020408163225,-0.10624715002279973
First Round,13,Grand Canyon,50,2928,0.25,0.2987755102040816,-0.04877551020408161,-0.1632513661202185
First Round,11,San Diego St,57,3289,0.285,0.3356122448979592,-0.050612244897959235,-0.15080571602310747
First Round,16,Alabama St,72,4034,0.36,0.4116326530612245,-0.0516326530612245,-0.12543381259295985
First Round,12,Colorado St,74,4179,0.37,0.42642857142857143,-0.05642857142857144,-0.13232830820770522
First Round,12,UC San Diego,57,3349,0.285,0.341734693877551,-0.056734693877551035,-0.16601970737533597
First Round,12,McNeese,48,2943,0.24,0.3003061224489796,-0.06030612244897959,-0.20081549439347607
First Round,10,New Mexico,80,4517,0.4,0.46091836734693875,-0.06091836734693873,-0.13216736772193924
First Round,11,Drake,98,5403,0.49,0.5513265306122449,-0.06132653061224491,-0.11123449935221176
First Round,10,Vanderbilt,44,2795,0.22,0.28520408163265304,-0.06520408163265304,-0.22862254025044718
First Round,9,Georgia,50,3101,0.25,0.31642857142857145,-0.06642857142857145,-0.2099322799097066
First Round,15,Robert Morris,24,1844,0.12,0.18816326530612246,-0.06816326530612246,-0.3622559652928417
First Round,15,Omaha,9,1140,0.045,0.11632653061224489,-0.07132653061224489,-0.6131578947368421
First Round,14,UNC Wilmington,13,1362,0.065,0.1389795918367347,-0.07397959183673469,-0.5323054331864905
First Round,15,Bryant,14,1413,0.07,0.14418367346938776,-0.07418367346938776,-0.5145081387119603
First Round,9,Creighton,57,3524,0.285,0.35959183673469386,-0.07459183673469388,-0.20743473325766176
First Round,12,Liberty,51,3263,0.255,0.3329591836734694,-0.07795918367346938,-0.23414036163040144
First Round,14,Montana,29,2193,0.145,0.22377551020408162,-0.07877551020408163,-0.35202918376652986
First Round,11,VCU,60,3779,0.3,0.3856122448979592,-0.08561224489795921,-0.22201640645673465
First Round,16,American,3,993,0.015,0.10132653061224489,-0.08632653061224489,-0.851963746223565
First Round,13,Akron,43,3093,0.215,0.3156122448979592,-0.1006122448979592,-0.31878435176204334
First Round,9,Baylor,70,4517,0.35,0.46091836734693875,-0.11091836734693877,-0.24064644675669694
First Round,13,High Point,50,3761,0.25,0.3837755102040816,-0.13377551020408163,-0.34857750598245146
Second Round,6,Illinois,67,3002,0.335,0.3063265306122449,0.028673469387755113,0.09360426382411728
Second Round,6,Missouri,33,1448,0.165,0.14775510204081632,0.017244897959183686,0.11671270718232053
Second Round,7,Marquette,36,1600,0.18,0.16326530612244897,0.016734693877551027,0.10250000000000005
Second Round,14,Lipscomb,17,675,0.085,0.06887755102040816,0.01612244897959185,0.2340740740740743
Second Round,5,Oregon,67,3187,0.335,0.3252040816326531,0.009795918367346945,0.03012237213680579
Second Round,10,Utah State,29,1329,0.145,0.13561224489795917,0.009387755102040818,0.06922498118886382
Second Round,5,Michigan,74,3654,0.37,0.37285714285714283,-0.002857142857142836,-0.007662835249042089
Second Round,5,Memphis,55,2728,0.275,0.2783673469387755,-0.003367346938775495,-0.012096774193548333
Second Round,11,Texas,27,1390,0.135,0.14183673469387756,-0.00683673469387755,-0.04820143884892085
Second Round,14,Montana,8,523,0.04,0.05336734693877551,-0.013367346938775511,-0.25047801147227533
Second Round,16,Norfolk St,4,350,0.02,0.03571428571428571,-0.015714285714285712,-0.43999999999999995
Second Round,16,SIUE,1,232,0.005,0.0236734693877551,-0.0186734693877551,-0.7887931034482758
Second Round,8,Louisville,48,2535,0.24,0.2586734693877551,-0.018673469387755104,-0.07218934911242604
Second Round,15,Omaha,3,331,0.015,0.033775510204081635,-0.018775510204081636,-0.5558912386706949
Second Round,5,Clemson,75,3863,0.375,0.39418367346938776,-0.019183673469387763,-0.04866683924411081
Second Round,8,Mississippi St,18,1111,0.09,0.11336734693877551,-0.023367346938775513,-0.20612061206120613
Second Round,15,Wofford,2,333,0.01,0.03397959183673469,-0.02397959183673469,-0.7057057057057057
Second Round,8,UConn,19,1170,0.095,0.11938775510204082,-0.024387755102040817,-0.20427350427350427
Second Round,14,UNC Wilmington,1,326,0.005,0.03326530612244898,-0.028265306122448982,-0.8496932515337423
Second Round,16,American,0,301,0.0,0.030714285714285715,-0.030714285714285715,-1.0
