round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,2.0,0.18863157894736843,2.0,2.0,3.698,3.075515566535146,500
Second Round,1.0,0.2216842105263158,1.0,1.0,2.512,2.0556886923851088,500
Sweet 16,0.0,0.2542105263157895,1.0,1.0,1.544,1.4142361896090767,500
Elite 8,0.0,0.3542105263157895,0.0,0.0,0.824,0.8792178342140247,500
Final Four,,,,0.0,0.2,0.43861688241457164,500
Championship,,,,0.0,0.042,0.200790022826168,500
Total Upsets,4.0,0.11021052631578948,4.0,4.0,8.82,6.65248825628426,500
