round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,1.0,0.09894736842105263,8.0,8.0,4.84,2.6635314903338387,8.552631578947368,3.7790096754869285,50
Second Round,1.0,0.15578947368421053,1.0,1.0,3.82,2.44695729427385,6.650526315789474,2.843269936801289,50
Sweet 16,1.0,0.1336842105263158,1.0,1.0,2.68,1.7713271860387625,4.451578947368421,1.7980318572141003,50
Elite 8,0.0,0.1726315789473684,2.0,2.0,1.52,1.0438390680559912,2.4747368421052633,1.1177485284504676,50
Final Four,,,,0.0,0.42,0.5746338674605362,1.0463157894736843,0.7553055187093483,50
Championship,,,,0.0,0.12,0.3282607226593159,0.4336842105263158,0.4955827035586311,50
Total Upsets,2.0,0.0936842105263158,23.0,23.0,13.4,7.152621896899066,23.609473684210528,8.9615620546774,50
