round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,1.0,0.2943722943722944,1.0,1.0,1.9696969696969697,1.7230144213126666,9.012987012987013,3.662115064924788,66
Second Round,2.0,0.26082251082251084,2.0,2.0,1.8484848484848484,1.4795824988768125,6.949134199134199,2.846089689928294,66
Sweet 16,1.0,0.29653679653679654,1.0,1.0,1.3181818181818181,1.1698107967853102,4.582251082251083,1.7403876134881022,66
Elite 8,0.0,0.36904761904761907,0.0,0.0,0.8939393939393939,0.9232483476716439,2.566017316017316,1.1043856609046696,66
Final Four,,,,0.0,0.18181818181818182,0.46107202537934633,1.1233766233766234,0.753013473355733,66
Championship,,,,0.0,0.045454545454545456,0.20989507868443238,0.48484848484848486,0.49977037886274667,66
Total Upsets,5.0,0.1937229437229437,5.0,5.0,6.257575757575758,4.452818671700957,24.71861471861472,8.707167261363429,66
