round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,5.0,0.09087500000000001,7.0,7.0,7.0285,3.00128101816541,2000
Second Round,3.0,0.112125,5.0,5.0,4.628,2.180966758114392,2000
Sweet 16,2.0,0.133125,3.0,3.0,2.8645,1.5232004956669363,2000
Elite 8,1.0,0.16325000000000003,1.0,1.0,1.5305,1.042626371237559,2000
Final Four,,,,0.0,0.471,0.6255834695215894,2000
Championship,,,,0.0,0.14,0.34707381075940824,2000
Total Upsets,15.0,0.04425,16.0,16.0,16.6625,6.597999223249424,2000
