round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,17.406442497595133,2.1301814543438917,18.935868977519412,3.5056727302954505
Second Round,8.938488656143805,1.86744025176636,9.370930811617237,2.058741691776318
Sweet 16,4.4589670861090385,1.178616984059314,4.782172713400192,1.2979551049799622
Elite 8,2.311809727707945,0.8033227276442894,2.367571180166904,0.8927116702529404
Final Four,1.2253394596410672,0.3856264681134432,1.2367994450997897,0.5444287665262837
Championship,0.507595334637013,0.24793510963172585,0.6389050857990275,0.36279864528215067
