round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,2.0,0.261,2.0,2.0,2.197,1.6044285587086762,10.750333333333334,3.6482263422716037,1000
Second Round,1.0,0.3245555555555556,1.0,1.0,1.548,1.258449840081042,7.284111111111111,2.8115738551938976,1000
Sweet 16,1.0,0.34444444444444444,1.0,1.0,0.992,0.9412417330314248,4.369111111111111,1.7805683514880826,1000
Elite 8,0.0,0.4827777777777778,0.0,0.0,0.57,0.7107038764492565,2.3227777777777776,1.1355532452683608,1000
Final Four,,,,0.0,0.074,0.26943755602476166,0.9516666666666667,0.7609916775716626,1000
Championship,,,,0.0,0.007,0.08341437500789631,0.38333333333333336,0.48619840486049404,1000
Total Upsets,4.0,0.14555555555555555,4.0,4.0,5.388,3.2755848332778683,26.061333333333334,8.72023282054123,1000
