advanced_through,to_reach,seed,team,frequency
First Round,Second Round,10,Villanova,0.127
First Round,Second Round,9,Virginia Tech,0.123
First Round,Second Round,12,Murray St,0.12
First Round,Second Round,11,Fairfield,0.119
First Round,Second Round,11,S Dakota St,0.118
First Round,Second Round,11,Rhode Island,0.117
First Round,Second Round,9,Syracuse,0.109
First Round,Second Round,10,Colorado,0.106
First Round,Second Round,12,James Madison,0.104
First Round,Second Round,9,USC,0.099
First Round,Second Round,10,Tennessee,0.094
First Round,Second Round,12,Gonzaga,0.088
First Round,Second Round,9,Princeton,0.088
First Round,Second Round,13,Idaho,0.074
First Round,Second Round,13,Miami OH,0.073
First Round,Second Round,14,Vermont,0.073
First Round,Second Round,12,Colorado St,0.071
First Round,Second Round,11,NEB/RICH,0.063
First Round,Second Round,10,UVA/ASU,0.063
First Round,Second Round,14,Charleston,0.062
First Round,Second Round,13,W Illinois,0.059
First Round,Second Round,13,Green Bay,0.058
First Round,Second Round,14,UC San Diego,0.047
First Round,Second Round,15,Jacksonville,0.045
First Round,Second Round,15,Holy Cross,0.043
First Round,Second Round,15,FDU,0.041
First Round,Second Round,15,High Point,0.039
First Round,Second Round,14,Howard,0.038
First Round,Second Round,16,UTSA,0.018
First Round,Second Round,16,CA Baptist,0.009
First Round,Second Round,16,MOST/SFA,0.006
First Round,Second Round,16,SOU/SAM,0.004
Second Round,Sweet 16,5,Michigan St,0.156
Second Round,Sweet 16,5,Kentucky,0.123
Second Round,Sweet 16,5,Ole Miss,0.123
Second Round,Sweet 16,6,Alabama,0.118
Second Round,Sweet 16,6,Baylor,0.109
Second Round,Sweet 16,5,Maryland,0.107
Second Round,Sweet 16,6,Notre Dame,0.1
Second Round,Sweet 16,6,Washington,0.096
Second Round,Sweet 16,7,NC State,0.093
Second Round,Sweet 16,7,Illinois,0.085
Second Round,Sweet 16,7,Georgia,0.083
Second Round,Sweet 16,7,Texas Tech,0.071
Second Round,Sweet 16,8,Oklahoma St,0.06
Second Round,Sweet 16,8,Iowa State,0.037
Second Round,Sweet 16,8,Oregon,0.036
Second Round,Sweet 16,8,Clemson,0.03
Second Round,Sweet 16,11,Rhode Island,0.021
Second Round,Sweet 16,12,James Madison,0.019
Second Round,Sweet 16,11,Fairfield,0.017
Second Round,Sweet 16,12,Murray St,0.016
Second Round,Sweet 16,11,S Dakota St,0.012
Second Round,Sweet 16,10,Villanova,0.012
Second Round,Sweet 16,12,Colorado St,0.011
Second Round,Sweet 16,10,Colorado,0.009
Second Round,Sweet 16,13,Miami OH,0.009
Second Round,Sweet 16,14,Vermont,0.008
Second Round,Sweet 16,13,W Illinois,0.008
Second Round,Sweet 16,12,Gonzaga,0.008
Second Round,Sweet 16,15,FDU,0.007
Second Round,Sweet 16,10,Tennessee,0.006
Second Round,Sweet 16,9,Virginia Tech,0.005
Second Round,Sweet 16,9,USC,0.005
Second Round,Sweet 16,14,UC San Diego,0.004
Second Round,Sweet 16,11,NEB/RICH,0.004
Second Round,Sweet 16,9,Syracuse,0.004
Second Round,Sweet 16,13,Idaho,0.004
Second Round,Sweet 16,13,Green Bay,0.003
Second Round,Sweet 16,15,Holy Cross,0.003
Second Round,Sweet 16,10,UVA/ASU,0.003
