round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,2.0,0.32241379310344825,2.0,2.0,3.5,2.0615528128088303,20
Second Round,1.0,0.23275862068965517,1.0,1.0,2.6,2.267156809750927,20
Sweet 16,0.0,0.27241379310344827,0.0,0.0,1.95,1.6575584454250776,20
Elite 8,1.0,0.21551724137931036,1.0,1.0,1.35,1.0136567466356647,20
Final Four,,,,0.0,0.4,0.5982430416161189,20
Championship,,,,0.0,0.05,0.22360679774997894,20
Total Upsets,3.0,0.2982758620689655,3.0,3.0,9.85,6.190920771581559,20
