round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,2.0,0.4392857142857143,2.0,2.0,2.2,0.8124038404635961,20
Second Round,1.0,0.3928571428571429,1.0,1.0,1.7,1.2288205727444508,20
Sweet 16,1.0,0.4928571428571429,1.0,1.0,1.2,0.9797958971132712,20
Elite 8,0.0,0.5107142857142858,0.0,0.0,0.6,0.7999999999999999,20
Final Four,,,,0.0,0.05,0.22360679774997894,20
Championship,,,,0.0,0.0,0.0,20
Total Upsets,3.0,0.24642857142857144,3.0,3.0,5.75,2.843853020111975,20
