round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,2.0,0.2401329901329901,2.0,2.0,2.72972972972973,2.2203506443827825,666
Second Round,1.0,0.27745602745602743,1.0,1.0,1.9324324324324325,1.5976519273202343,666
Sweet 16,1.0,0.2947232947232947,1.0,1.0,1.3138138138138138,1.1952187738178546,666
Elite 8,0.0,0.4094809094809095,0.0,0.0,0.7147147147147147,0.8107718820595791,666
Final Four,,,,0.0,0.13063063063063063,0.3588518347465359,666
Championship,,,,0.0,0.02252252252252252,0.14848691576575798,666
Total Upsets,5.0,0.13063063063063063,5.0,5.0,6.843843843843844,4.904762617698803,666
