round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,15.20109798555511,1.3334798610069256,19.355507813254196,3.940820709008172
Second Round,6.703086736142698,1.0969486041818675,9.573387933857033,2.2169466784137817
Sweet 16,3.8424538461721234,0.6864571042799623,4.8638306846441,1.369661946458307
Elite 8,1.748195677596996,0.4616864627816177,2.4145978550667317,0.9343885938175825
Final Four,1.1331435177474896,0.22417895365275428,1.253168489731447,0.5647866136547348
Championship,0.6103382976376603,0.1396965530423527,0.64052431350065,0.3737541866696678
