round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,num_pools
First Round,1.0,0.31222222222222223,1.0,1.0,1.91,1.5626579920123276,100
Second Round,1.0,0.31777777777777777,1.0,1.0,1.63,1.2700787377166818,100
Sweet 16,1.0,0.4077777777777778,1.0,1.0,1.16,1.0170545708072896,100
Elite 8,0.0,0.38111111111111107,0.0,0.0,0.83,0.8252878285786116,100
Final Four,,,,0.0,0.16,0.3684529491774707,100
Championship,,,,0.0,0.01,0.09999999999999999,100
Total Upsets,5.0,0.1577777777777778,5.0,5.0,5.7,3.306055050963308,100
