round,mean_madness,std_madness
First Round,12.168287596650782,1.5921503839873823
Second Round,6.993731600635366,0.8975366758986777
Sweet 16,3.874565829480978,0.5658542541056035
Elite 8,1.9896152740636297,0.2977194065816686
Final Four,1.1642502632282241,0.19319808104151265
Championship,0.5911816514090227,0.10494054196702597
