round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,15.450705990094889,1.9654395964009483,17.423353490070614,4.338612413087883
Second Round,9.406914412770895,2.308375876306925,9.37803954557139,2.0708469477294686
Sweet 16,4.8675476566629685,1.2901051688576497,4.911876057054835,1.2170709298449147
Elite 8,2.196241279577401,0.6390231656500241,2.470149148260851,0.7911162870496334
Final Four,1.1822943857971588,0.5167325672935967,1.245077990634162,0.5458059264512376
Championship,0.6486386915389981,0.34609111671989884,0.6471960616818022,0.34190144905505837
