round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,4.0,0.09343434343434343,9.0,9.0,6.65,2.6320144376503714,8.591919191919192,3.431602292880158,20
Second Round,4.0,0.2621212121212121,4.0,4.0,5.3,1.676305461424021,6.598484848484849,2.6010677153567996,20
Sweet 16,4.0,0.1792929292929293,4.0,4.0,3.75,1.2599603168354152,4.421717171717172,1.6749590921608213,20
Elite 8,3.0,0.17676767676767674,3.0,3.0,2.45,0.9733961166965891,2.4555555555555557,1.0896874004740826,20
Final Four,,,,1.0,0.95,0.6863327411532597,1.0505050505050506,0.7497304212314897,20
Championship,,,,0.0,0.3,0.4701623459816272,0.46111111111111114,0.49848536018722517,20
Total Upsets,19.0,0.11010101010101009,19.0,19.0,19.4,4.789572005931219,23.57929292929293,8.037052798250686,20
