advanced_through,to_reach,seed,team,frequency
First Round,Second Round,9,Utah State,0.51
First Round,Second Round,11,VCU,0.45
First Round,Second Round,9,Saint Louis,0.4
First Round,Second Round,9,TCU,0.39
First Round,Second Round,12,High Point,0.39
First Round,Second Round,10,Santa Clara,0.39
First Round,Second Round,15,Tennessee St,0.37
First Round,Second Round,11,M-OH/SMU,0.35
First Round,Second Round,10,Missouri,0.35
First Round,Second Round,11,South Florida,0.34
First Round,Second Round,9,Iowa,0.33
First Round,Second Round,12,Akron,0.32
First Round,Second Round,11,Texas,0.31
First Round,Second Round,12,McNeese,0.3
First Round,Second Round,10,Texas A&M,0.3
First Round,Second Round,10,UCF,0.27
First Round,Second Round,13,Hawai'i,0.24
First Round,Second Round,13,Hofstra,0.22
First Round,Second Round,13,CA Baptist,0.22
First Round,Second Round,14,Penn,0.2
First Round,Second Round,13,Troy,0.18
First Round,Second Round,12,Northern Iowa,0.15
First Round,Second Round,14,Kennesaw St,0.13
First Round,Second Round,14,N Dakota St,0.11
First Round,Second Round,14,Wright St,0.07
First Round,Second Round,15,Queens,0.06
First Round,Second Round,16,Siena,0.04
First Round,Second Round,15,Idaho,0.04
First Round,Second Round,15,Furman,0.03
First Round,Second Round,16,PV/LEH,0.03
First Round,Second Round,16,Long Island,0.02
First Round,Second Round,16,Howard,0.02
Second Round,Sweet 16,5,Vanderbilt,0.46
Second Round,Sweet 16,5,St John's,0.44
Second Round,Sweet 16,5,Texas Tech,0.33
Second Round,Sweet 16,7,UCLA,0.29
Second Round,Sweet 16,6,BYU,0.27
Second Round,Sweet 16,6,North Carolina,0.26
Second Round,Sweet 16,5,Wisconsin,0.24
Second Round,Sweet 16,6,Tennessee,0.23
Second Round,Sweet 16,11,VCU,0.21
Second Round,Sweet 16,7,Saint Mary's,0.21
Second Round,Sweet 16,7,Miami,0.21
Second Round,Sweet 16,7,Kentucky,0.2
Second Round,Sweet 16,8,Clemson,0.18
Second Round,Sweet 16,10,Santa Clara,0.14
Second Round,Sweet 16,12,McNeese,0.13
Second Round,Sweet 16,12,Akron,0.13
Second Round,Sweet 16,15,Tennessee St,0.13
Second Round,Sweet 16,12,High Point,0.13
Second Round,Sweet 16,11,South Florida,0.12
Second Round,Sweet 16,6,Louisville,0.12
Second Round,Sweet 16,8,Georgia,0.1
Second Round,Sweet 16,13,Hawai'i,0.09
Second Round,Sweet 16,9,TCU,0.09
Second Round,Sweet 16,10,UCF,0.09
Second Round,Sweet 16,9,Iowa,0.08
Second Round,Sweet 16,8,Ohio State,0.08
Second Round,Sweet 16,9,Saint Louis,0.07
Second Round,Sweet 16,8,Villanova,0.07
Second Round,Sweet 16,9,Utah State,0.07
Second Round,Sweet 16,10,Missouri,0.06
Second Round,Sweet 16,11,Texas,0.06
Second Round,Sweet 16,13,Hofstra,0.06
Second Round,Sweet 16,13,Troy,0.05
Second Round,Sweet 16,10,Texas A&M,0.05
Second Round,Sweet 16,13,CA Baptist,0.05
Second Round,Sweet 16,12,Northern Iowa,0.04
Second Round,Sweet 16,11,M-OH/SMU,0.04
Second Round,Sweet 16,14,Penn,0.04
Second Round,Sweet 16,14,Kennesaw St,0.03
Second Round,Sweet 16,14,Wright St,0.02
Second Round,Sweet 16,16,Siena,0.02
Second Round,Sweet 16,15,Furman,0.01
Second Round,Sweet 16,14,N Dakota St,0.01
Sweet 16,Elite 8,3,Michigan St,0.44
Sweet 16,Elite 8,3,Virginia,0.41
Sweet 16,Elite 8,3,Gonzaga,0.3
Sweet 16,Elite 8,5,St John's,0.22
Sweet 16,Elite 8,5,Vanderbilt,0.2
Sweet 16,Elite 8,3,Illinois,0.2
Sweet 16,Elite 8,4,Arkansas,0.18
Sweet 16,Elite 8,4,Nebraska,0.12
Sweet 16,Elite 8,4,Kansas,0.12
Sweet 16,Elite 8,6,Tennessee,0.12
Sweet 16,Elite 8,7,UCLA,0.11
Sweet 16,Elite 8,7,Saint Mary's,0.09
Sweet 16,Elite 8,11,VCU,0.09
Sweet 16,Elite 8,7,Miami,0.08
Sweet 16,Elite 8,4,Alabama,0.08
Sweet 16,Elite 8,8,Georgia,0.07
Sweet 16,Elite 8,6,North Carolina,0.07
Sweet 16,Elite 8,11,South Florida,0.07
Sweet 16,Elite 8,6,BYU,0.07
Sweet 16,Elite 8,7,Kentucky,0.06
Sweet 16,Elite 8,5,Texas Tech,0.05
Sweet 16,Elite 8,12,Akron,0.05
Sweet 16,Elite 8,12,McNeese,0.05
Sweet 16,Elite 8,8,Clemson,0.04
Sweet 16,Elite 8,15,Tennessee St,0.04
Sweet 16,Elite 8,10,Santa Clara,0.04
Sweet 16,Elite 8,9,TCU,0.03
Sweet 16,Elite 8,5,Wisconsin,0.03
Sweet 16,Elite 8,10,Missouri,0.03
Sweet 16,Elite 8,10,UCF,0.03
Sweet 16,Elite 8,8,Villanova,0.03
Sweet 16,Elite 8,12,High Point,0.03
Sweet 16,Elite 8,8,Ohio State,0.03
Sweet 16,Elite 8,11,Texas,0.03
Sweet 16,Elite 8,6,Louisville,0.02
Sweet 16,Elite 8,13,Troy,0.02
Sweet 16,Elite 8,9,Utah State,0.02
Sweet 16,Elite 8,9,Saint Louis,0.02
Sweet 16,Elite 8,14,Wright St,0.01
Sweet 16,Elite 8,12,Northern Iowa,0.01
Sweet 16,Elite 8,11,M-OH/SMU,0.01
Sweet 16,Elite 8,9,Iowa,0.01
Elite 8,Final Four,2,Houston,0.35
Elite 8,Final Four,3,Michigan St,0.26
Elite 8,Final Four,2,Purdue,0.17
Elite 8,Final Four,3,Virginia,0.16
Elite 8,Final Four,3,Gonzaga,0.14
Elite 8,Final Four,2,UConn,0.13
Elite 8,Final Four,4,Arkansas,0.1
Elite 8,Final Four,5,St John's,0.09
Elite 8,Final Four,3,Illinois,0.06
Elite 8,Final Four,2,Iowa State,0.06
Elite 8,Final Four,5,Vanderbilt,0.06
Elite 8,Final Four,4,Nebraska,0.04
Elite 8,Final Four,4,Alabama,0.04
Elite 8,Final Four,11,VCU,0.04
Elite 8,Final Four,7,UCLA,0.03
Elite 8,Final Four,6,Tennessee,0.03
Elite 8,Final Four,5,Texas Tech,0.03
Elite 8,Final Four,12,Akron,0.02
Elite 8,Final Four,11,South Florida,0.02
Elite 8,Final Four,6,North Carolina,0.02
Elite 8,Final Four,10,Missouri,0.02
Elite 8,Final Four,9,Utah State,0.02
Elite 8,Final Four,4,Kansas,0.02
Elite 8,Final Four,10,Santa Clara,0.02
Elite 8,Final Four,8,Ohio State,0.02
Elite 8,Final Four,8,Georgia,0.01
Elite 8,Final Four,12,High Point,0.01
Elite 8,Final Four,9,Saint Louis,0.01
Elite 8,Final Four,7,Kentucky,0.01
Elite 8,Final Four,6,Louisville,0.01
Elite 8,Final Four,8,Clemson,0.01
Elite 8,Final Four,12,McNeese,0.01
Elite 8,Final Four,5,Wisconsin,0.01
Elite 8,Final Four,6,BYU,0.01
Elite 8,Final Four,11,M-OH/SMU,0.01
Elite 8,Final Four,10,UCF,0.01
Elite 8,Final Four,9,TCU,0.01
Elite 8,Final Four,8,Villanova,0.01
Final Four,Championship,3,Michigan St,0.15
Final Four,Championship,2,Houston,0.14
Final Four,Championship,2,Purdue,0.11
Final Four,Championship,3,Gonzaga,0.07
Final Four,Championship,3,Virginia,0.06
Final Four,Championship,5,St John's,0.05
Final Four,Championship,2,UConn,0.04
Final Four,Championship,4,Arkansas,0.03
Final Four,Championship,5,Vanderbilt,0.03
Final Four,Championship,5,Texas Tech,0.02
Final Four,Championship,9,Utah State,0.02
Final Four,Championship,11,South Florida,0.01
Final Four,Championship,3,Illinois,0.01
Final Four,Championship,12,Akron,0.01
Final Four,Championship,10,Missouri,0.01
Final Four,Championship,11,VCU,0.01
Final Four,Championship,5,Wisconsin,0.01
Final Four,Championship,2,Iowa State,0.01
Final Four,Championship,6,Tennessee,0.01
Final Four,Championship,4,Nebraska,0.01
Final Four,Championship,9,TCU,0.01
Championship,N/A,3,Michigan St,0.13
Championship,N/A,2,Purdue,0.06
Championship,N/A,2,Houston,0.04
Championship,N/A,5,St John's,0.03
Championship,N/A,3,Virginia,0.02
