round,mean_madness,std_madness,losers_mean_madness,losers_std_madness
First Round,15.013035672888591,2.801706136229703,17.478082518103164,4.3629742899471715
Second Round,8.840628522635054,1.1808527498751569,9.476263666057465,2.1159797918972507
Sweet 16,4.664411271383289,0.8766624284224906,4.917253309989077,1.2315415431271117
Elite 8,2.487488949674641,0.6392034945703952,2.499514480850691,0.8259676629239746
Final Four,1.050129080788942,0.3702783658995442,1.2519476018187072,0.5580605161276496
Championship,0.6489900544145399,0.22450997556029265,0.649089363218826,0.34047692719974293
