round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets,std_upsets,losers_mean_upsets,losers_std_upsets,num_pools
First Round,5.0,0.22567567567567565,5.0,5.0,6.25,2.321098877687032,8.660135135135135,3.5021275360894255,20
Second Round,3.0,0.13445945945945947,3.0,3.0,5.3,1.6462077633154328,6.487837837837838,2.7395725008141225,20
Sweet 16,3.0,0.18716216216216214,3.0,3.0,3.7,1.1445523142259597,4.353378378378379,1.7702845831895087,20
Elite 8,2.0,0.1040540540540541,2.0,2.0,2.3,0.9,2.383783783783784,1.1449096538210821,20
Final Four,,,,0.0,0.8,0.7677718959499145,1.0175675675675675,0.7450481769490913,20
Championship,,,,0.0,0.25,0.4442616583193193,0.42162162162162165,0.4938186203483783,20
Total Upsets,15.0,0.127027027027027,15.0,15.0,18.6,4.498888751680798,23.324324324324323,8.433937409012357,20
